ders	ünite_adı	konu_adı	kart_ön	kart_arka
Tarih	İnsanlığın Hafızası Tarih	Tarih Bilimi ve Konusu	Tarihî olaylarda deney yapılabilir mi?	Hayır
Tarih	İnsanlığın Hafızası Tarih	Tarih Bilimi ve Konusu	Tarihî olaylar ____.	Tekrarlanamaz
Tarih	İnsanlığın Hafızası Tarih	Kaynakların Sınıflandırılması	Olay dönemine ait kaynak türü?	Birinci el
Tarih	İnsanlığın Hafızası Tarih	Kaynakların Sınıflandırılması	Ferman, ____ kaynaktır.	Birinci el
Tarih	İnsanlığın Hafızası Tarih	Tarihe Yardımcı Bilim Dalları	Eski yazıları inceleyen bilim?	Paleografya
Tarih	İnsanlığın Hafızası Tarih	Tarihe Yardımcı Bilim Dalları	Tarih öncesini aydınlatan bilim: ____.	Arkeoloji
Tarih	Zamanın Taksimi	Takvim Sistemlerinin Doğuşu	Ay yılı kaç gündür?	354 gün
Tarih	Zamanın Taksimi	Takvim Sistemlerinin Doğuşu	Güneş yılı: ____.	365 gün 6 saat
Tarih	Zamanın Taksimi	Türklerin Kullandığı Takvimler	Türklerin kullandığı ilk takvim?	On İki Hayvanlı Takvim
Tarih	Zamanın Taksimi	Türklerin Kullandığı Takvimler	Hicrî Takvim başlangıcı?	Hicret
Tarih	Avrasya'da İlk Türk İzleri	Avrasya ve Türk Adı	Türk adını resmî devlet adı kullanan ilk devlet?	I. Kök Türk Devleti
Tarih	Avrasya'da İlk Türk İzleri	Avrasya ve Türk Adı	Bizans kaynaklarında Türkiye adı ilk kez?	VI. yüzyıl
Tarih	Avrasya'da İlk Türk İzleri	Orta Asya Kültür Merkezleri	Ata ilk kez rastlanan kültür?	Anav
Tarih	Avrasya'da İlk Türk İzleri	Orta Asya Kültür Merkezleri	Demir işçiliğiyle öne çıkan kültür: ____.	Karasuk
Tarih	Avrasya'da İlk Türk İzleri	Bozkır Coğrafyası ve Askerî Kültür	Türk ordusunun düzeni?	Onlu sistem
Tarih	Avrasya'da İlk Türk İzleri	Bozkır Coğrafyası ve Askerî Kültür	Turan Taktiği'nin ilk aşaması?	Sahte geri çekilme
Tarih	Boylardan Devlete-I	Türklerde Sosyal Yapı	En küçük Türk sosyal birimi?	Oguş
Tarih	Boylardan Devlete-I	Türklerde Sosyal Yapı	Budunların oluşturduğu yapı: ____.	İl
Tarih	Boylardan Devlete-I	Kut Anlayışı ve Devlet Teşkilatı	Yönetme yetkisini veren?	Gök Tengri
Tarih	Boylardan Devlete-I	Kut Anlayışı ve Devlet Teşkilatı	Doğu-batı yönetim modeli?	İkili teşkilat
Tarih	Boylardan Devlete-II	Asya Hun ve I. Kök Türk Devletleri	Asya Hunlarının güçlü hükümdarı?	Mete Han
Tarih	Boylardan Devlete-II	Asya Hun ve I. Kök Türk Devletleri	I. Kök Türklerin kurucusu?	Bumin Kağan
Tarih	Boylardan Devlete-II	II. Kök Türk ve Uygur Devletleri	II. Kök Türk kurucusu?	Kutluk Kağan
Tarih	Boylardan Devlete-II	II. Kök Türk ve Uygur Devletleri	Uygurların kabul ettiği din?	Maniheizm
Tarih	Boylardan Devlete-II	İlk Türk Devletlerinde Töre	Sözlü hukuk kuralları?	Töre
Tarih	Boylardan Devlete-II	İlk Türk Devletlerinde Töre	Töreye kim de uyar?	Kağan
Tarih	Kavimler Göçü	Kavimler Göçü ve Sonuçları	Kavimler Göçü yılı?	376
Tarih	Kavimler Göçü	Kavimler Göçü ve Sonuçları	Kavimler Göçü sonrası güçlenen sistem?	Feodalite
Tarih	Kavimler Göçü	Avrupa Hun Devleti	Avrupa Hunlarının kurucusu?	Balamir
Tarih	Kavimler Göçü	Avrupa Hun Devleti	Attila'nın vergi antlaşmaları?	Margus ve Anatolios
Tarih	Kavimler Göçü	Diğer Türk Boyları	Museviliği benimseyen Türk devleti?	Hazarlar
Tarih	Kavimler Göçü	Diğer Türk Boyları	Talas'ta Abbasileri destekleyen?	Karluklar
Tarih	İslamiyet'in Doğduğu Dönemde Dünya	İslam Öncesi Arap Yarımadası	İslam öncesi Arap dönemi?	Cahiliye
Tarih	İslamiyet'in Doğduğu Dönemde Dünya	İslam Öncesi Arap Yarımadası	Haram aylardaki savaşlar?	Ficâr Savaşları
Tarih	İslamiyet'in Doğduğu Dönemde Dünya	Dört Halife Dönemi	Seçimle halife dönemi?	Cumhuriyet Dönemi
Tarih	İslamiyet'in Doğduğu Dönemde Dünya	Dört Halife Dönemi	İlk İslam donanması hangi halife?	Hz. Osman
Tarih	Emeviler	Emevi Siyaseti ve Mevali Politikası	Halifeliği saltanata çeviren uygulama?	Yezid veliahtlığı
Tarih	Emeviler	Emevi Siyaseti ve Mevali Politikası	Arap olmayanlara ayrımcı politika?	Mevali
Tarih	Abbasi Devleti ve Türkler - Bilim	Abbasiler ve Mısır'da Kurulan Türk Devletleri	Mısır'daki ilk Müslüman Türk devleti?	Tolunoğulları
Tarih	Abbasi Devleti ve Türkler - Bilim	Abbasiler ve Mısır'da Kurulan Türk Devletleri	Hıttin'de Kudüs'ü alan komutan?	Selahaddin Eyyubi
Tarih	Abbasi Devleti ve Türkler - Bilim	İslam Medeniyetinde Âlimler	El-Kanun fi't-Tıbb yazarı?	İbn Sina
Tarih	Abbasi Devleti ve Türkler - Bilim	İslam Medeniyetinde Âlimler	İkinci Öğretmen kimdir?	Farabi
Tarih	Türklerin İslamiyet'i Kabulü	Talas Savaşı ve İlk Türk İslam Devletleri	Talas Savaşı yılı?	751
