ders	ünite_adı	konu_adı	soru_metni	a	b	c	d	e	dogru	açıklama	zorluk
Tarih	İnsanlığın Hafızası Tarih	Tarih Bilimi ve Konusu	Tarihin diğer sosyal bilimlerden ayrılan en belirgin özelliği aşağıdakilerden hangisidir?	İnsan topluluklarını yalnızca ekonomik yönüyle incelemesi	Olayları deney ve gözlem yoluyla tekrar edebilmesi	İnsan faaliyetlerini yer, zaman ve sebep-sonuç ilişkisi içinde belgelere dayalı incelemesi	Yalnızca devletler arası savaşları konu edinmesi	Doğanın fiziksel özelliklerini araştırması	c	Tarih, insan topluluklarının geçmişteki faaliyetlerini yer ve zaman göstererek; sebep-sonuç ilişkisi içinde belgelere dayanarak inceler.	orta
Tarih	İnsanlığın Hafızası Tarih	Tarih Bilimi ve Konusu	Bir tarihçinin geçmişte yaşanan bir olayı bugünün değer yargılarıyla değil, yaşandığı dönemin koşullarıyla değerlendirmesi aşağıdakilerden hangisini gösterir?	Tarihî olayların tekrarlanabileceğini	Tarihî bilginin yalnızca sözlü kaynaklara dayandığını	Tarihî olayların kendi dönemi içinde ele alınması gerektiğini	Tarihte kesin kanunların bulunduğunu	Tarihin deneysel bir bilim olduğunu	c	Tarihî olaylar doğru yorumlanabilmek için yaşandıkları dönemin siyasi, sosyal ve kültürel şartları içinde değerlendirilmelidir.	orta
Tarih	İnsanlığın Hafızası Tarih	Kaynakların Sınıflandırılması	Aşağıdakilerden hangisi birinci el tarihî kaynağa örnektir?	Ders kitabı	Ansiklopedi	Olay dönemine ait ferman	Belgesel film	Tarih araştırma kitabı	c	Birinci el kaynaklar, olayın yaşandığı döneme ait belge ve buluntulardır. Fermanlar dönemin resmî belgeleri olduğu için birinci el kaynaktır.	kolay
Tarih	İnsanlığın Hafızası Tarih	Kaynakların Sınıflandırılması	Bir tarihçinin Osmanlı dönemine ait kitabe, para ve fermanları incelemesi öncelikle hangi tür kaynaklardan yararlandığını gösterir?	İkinci el kaynaklar	Sözlü kaynaklar	Birinci el kaynaklar	Edebî kaynaklar	Yardımcı kaynaklar	c	Kitabe, para ve ferman olayın yaşandığı döneme ait olduğu için birinci el tarihî kaynak sayılır.	orta
Tarih	İnsanlığın Hafızası Tarih	Tarihe Yardımcı Bilim Dalları	Tarih öncesi dönemlerin aydınlatılmasında tarihe en çok yardımcı olan bilim dalı aşağıdakilerden hangisidir?	Paleografya	Nümismatik	Arkeoloji	Epigrafi	Filoloji	c	Arkeoloji kazılar yoluyla toprak ve su altındaki maddi kalıntıları ortaya çıkarır. Tarih öncesi dönemlerde yazı olmadığı için en çok arkeolojiden yararlanılır.	kolay
Tarih	İnsanlığın Hafızası Tarih	Tarihe Yardımcı Bilim Dalları	Aşağıdaki bilim dallarından hangisinin eşleştirmesi doğrudur?	Nümismatik - Eski yazıları inceleme	Paleografya - Paraları inceleme	Epigrafi - Kitabe ve mezar taşlarındaki yazıları inceleme	Kronoloji - Toplumların geleneklerini inceleme	Etnografya - Devlet armalarını inceleme	c	Epigrafi, kitabe, anıt ve mezar taşları üzerindeki yazıları inceler.	orta
Tarih	Zamanın Taksimi	Takvim Sistemlerinin Doğuşu	Tarihte bilinen ilk Ay yılı esaslı takvimi kullanan uygarlık aşağıdakilerden hangisidir?	Mısırlılar	Sümerler	Romalılar	Yunanlar	İbraniler	b	Sümerler, Ay’ın Dünya etrafındaki hareketini esas alan ilk takvimi kullanmıştır.	kolay
Tarih	Zamanın Taksimi	Takvim Sistemlerinin Doğuşu	Aşağıdaki eşleştirmelerden hangisi doğrudur?	Müslümanlar - İlk Olimpiyat Oyunları	Hristiyanlar - Hz. Muhammed’in hicreti	Yunanlar - MÖ 776 İlk Olimpiyat Oyunları	İbraniler - Hz. İsa’nın doğumu	Romalılar - Yaradılış yılı	c	Yunanlar takvim başlangıcı olarak ilk olimpiyat oyunlarının yapıldığı MÖ 776 yılını kabul etmiştir.	orta
Tarih	Zamanın Taksimi	Türklerin Kullandığı Takvimler	Aşağıdakilerden hangisi Türklerin kullandığı ilk takvimdir?	Hicrî Takvim	Celâlî Takvim	Rûmî Takvim	On İki Hayvanlı Türk Takvimi	Miladi Takvim	d	On İki Hayvanlı Türk Takvimi, Türklerin kullandığı ilk takvimdir; Güneş yılı esaslıdır ve yıllar hayvan adlarıyla gösterilir.	kolay
Tarih	Zamanın Taksimi	Türklerin Kullandığı Takvimler	Osmanlı Devleti’nde mali işlerin düzenlenmesi amacıyla kullanılan takvim aşağıdakilerden hangisidir?	Hicrî Takvim	Celâlî Takvim	Rûmî Takvim	On İki Hayvanlı Türk Takvimi	Miladi Takvim	c	Rûmî Takvim, Osmanlı Devleti’nde özellikle mali işlerin düzenlenmesi amacıyla kullanılmıştır.	orta
Tarih	Zamanın Taksimi	Türklerin Kullandığı Takvimler	Hicrî Takvim ile ilgili aşağıdakilerden hangisi doğrudur?	Güneş yılı esasına dayanır	Başlangıç yılı 1079’dur	Yıllar hayvan adlarıyla gösterilir	Hz. İsa’nın doğumunu başlangıç kabul eder	Hz. Muhammed’in hicretini başlangıç kabul eder	e	Hicrî Takvim Ay yılı esaslıdır ve başlangıç olarak 622 yılındaki Hicret’i kabul eder.	orta
Tarih	Avrasya'da İlk Türk İzleri	Avrasya ve Türk Adı	Türk adının anlamı ile ilgili aşağıdakilerden hangisi doğru bir bilgi değildir?	Güçlü ve kuvvetli anlamında kullanılmıştır	Türeyiş ve çoğalma anlamıyla ilişkilendirilmiştir	Töreli, düzenli anlamında yorumlanmıştır	Yalnızca belirli bir boyun adı olarak kullanılmıştır	Olgunluk çağı anlamıyla açıklanmıştır	d	Türk adı yalnızca belirli bir boyun adı değildir; zamanla siyasi ve etnik bir ad olarak geniş bir topluluğu ifade etmiştir.	orta
